Quarter,Pipeline,Total Daily Transportation (DTH),Monthly Est. Transportation Reservation Revenue ($),Total Storage (DTH),Monthly Estimated Storage Reservation Revenue ($),Average Contract Length (Months),Active Contracts
Q2 2020,Alliance Pipeline L.P.,1679484,17214723,0,NA,72,56
Q2 2020,ANR Pipeline Company,7746991,40654693,190804120,NA,117,674
Q2 2020,ANR Storage Company,0,0,57240360,NA,76,19
Q2 2020,Arlington Storage Company LLC,0,NA,12804000,NA,49,14
Q2 2020,BBT (AlaTenn) LLC,101705,189356,0,NA,95,20
Q2 2020,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q2 2020,Blue Lake Gas Storage Company,0,NA,48000000,27480000,143,5
Q2 2020,Bluewater Gas Storage LLC,0,NA,29176887,NA,43,42
Q2 2020,Boardwalk Storage Co LLC,0,NA,6730000,NA,25,9
Q2 2020,Bobcat Storage,0,NA,24542200,NA,31,22
Q2 2020,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q2 2020,Caledonia Energy Partners LLC,0,NA,7300000,NA,30,5
Q2 2020,Cameron Interstate Pipeline LLC,1545729,2024596,0,NA,152,7
Q2 2020,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q2 2020,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q2 2020,Cheyenne Plains Gas Pipeline Company LLC,544840,3420497,0,NA,54,22
Q2 2020,Cimarron River Pipeline LLC,320487,NA,0,NA,79,2
Q2 2020,Colorado Interstate Gas Company L.L.C.,5900245,19668937,42101846,83083022,164,145
Q2 2020,Columbia Gas Transmission LLC,13641191,89970336,253577522,NA,159,690
Q2 2020,Columbia Gulf Transmission LLC,5328550,18427400,0,NA,135,95
Q2 2020,Corpus Christi Pipeline,2295000,6465474,0,NA,241,1
Q2 2020,Crossroads Pipeline Company,51000,167229,0,NA,79,6
Q2 2020,Dauphin Island Gathering Partners,46145,NA,0,NA,5,10
Q2 2020,Discovery Gas Transmission LLC,380258,NA,0,NA,2,54
Q2 2020,Dominion Energy Carolina Gas Transmission LLC,903273,4022229,0,NA,83,81
Q2 2020,Dominion Energy Cove Point LNG LP,3061999,31290915,7822500,NA,257,28
Q2 2020,East Cheyenne Gas Storage LLC,0,NA,11928832,NA,22,11
Q2 2020,East Tennessee Natural Gas LLC,1882088,22187127,1090043,NA,102,184
Q2 2020,Eastern Gas Transmission and Storage Inc,8611021,25285888,306767896,2192701,193,422
Q2 2020,Egan Hub Storage LLC,0,NA,19100000,NA,28,17
Q2 2020,El Paso Natural Gas Company L.L.C.,7885345,53339148,0,NA,109,232
Q2 2020,Elba Express Company L.L.C.,2043197,8299008,0,NA,158,23
Q2 2020,Empire Pipeline Inc.,779151,2462358,3753090,173393,76,13
Q2 2020,Enable Gas Transmission LLC,4397522,40417842,22920017,NA,70,770
Q2 2020,Enable Mississippi River Transmission LLC,1482105,4246876,21490584,35175788,249,90
Q2 2020,Equitrans L.P.,3625990,21698367,28242669,631467,141,49
Q2 2020,ETC Tiger Pipeline LLC,2160000,2751450,0,NA,90,9
Q2 2020,Florida Gas Transmission Company LLC,4118876,36979790,0,NA,273,174
Q2 2020,Florida Southeast Connection LLC,700000,NA,0,NA,285,2
Q2 2020,Freebird Gas Storage LLC,0,NA,4750000,NA,17,6
Q2 2020,Garden Banks Gas Pipeline LLC,138558,NA,0,NA,NA,13
Q2 2020,Gas Transmission Northwest LLC,2900235,NA,0,NA,178,126
Q2 2020,Golden Pass Pipeline LLC,2600910,2813413,0,NA,300,3
Q2 2020,Golden Triangle Storage Inc,165000,NA,10500000,NA,27,12
Q2 2020,Granite State Gas Transmission Inc.,140200,9727,0,NA,11,4
Q2 2020,Great Lakes Gas Transmission Limited Partnership,2301878,16143961,0,NA,91,76
Q2 2020,Guardian Pipeline L.L.C.,2400408,7356728,0,NA,113,25
Q2 2020,Gulf South Pipeline Company LP,9986821,79278580,66720769,NA,390,276
Q2 2020,Gulfstream Natural Gas System L.L.C.,1310000,NA,0,NA,222,17
Q2 2020,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q2 2020,Horizon Pipeline Company L.L.C.,380000,1258560,0,NA,159,2
Q2 2020,Iroquois Gas Transmission System L.P.,1698490,21448172,0,NA,120,86
Q2 2020,Kern River Gas Transmission Company,3642332,34755416,0,NA,79,108
Q2 2020,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q2 2020,Kinder Morgan Louisiana Pipeline LLC,745000,3419550,0,NA,138,2
Q2 2020,KPC Pipeline LLC,109754,718506,0,NA,43,10
Q2 2020,Leaf River Energy Center LLC,0,NA,26559117,NA,50,10
Q2 2020,Maritimes & Northeast Pipeline L.L.C.,967000,10947904,0,NA,263,5
Q2 2020,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q2 2020,MarkWest Pioneer LLC,573457,NA,0,NA,99,10
Q2 2020,Midwestern Gas Transmission Company,1412123,3044795,0,NA,152,53
Q2 2020,MIGC LLC,73428,446488,0,NA,66,10
Q2 2020,Millennium Pipeline Company LLC,2328969,36859430,0,NA,106,52
Q2 2020,Mississippi Canyon Gas Pipeline LLC,126056,184675,0,NA,NA,16
Q2 2020,Mississippi Hub LLC,0,NA,15000000,NA,31,12
Q2 2020,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,186,3
Q2 2020,Monroe Gas Storage Company LLC,0,NA,6700000,NA,37,8
Q2 2020,MountainWest Overthrust Pipeline LLC,1633337,2198986,0,NA,61,29
Q2 2020,MountainWest Pipeline LLC,2167478,11085873,54486118,6791473,166,93
Q2 2020,National Fuel Gas Supply Corporation,3222134,8080729,67591389,2937265,115,163
Q2 2020,Natural Gas Pipeline Company of America LLC,9502367,16877136,264064650,NA,51,353
Q2 2020,Nautilus Pipeline Company L.L.C.,366967,1499620,0,NA,NA,51
Q2 2020,Nexus,1507500,32279015,0,NA,64,28
Q2 2020,NGO Transmission Inc.,76773,NA,43260,NA,205,1
Q2 2020,North Baja Pipeline LLC,972300,3467777,0,NA,192,15
Q2 2020,Northern Border Pipeline Company,3869871,NA,0,NA,128,134
Q2 2020,Northern Natural Gas Company,22157122,33517263,101123347,121841006,101,1234
Q2 2020,Northwest Pipeline LLC,5139276,37169500,8836002,NA,264,204
Q2 2020,OkTex Pipeline Company L.L.C.,5552,790743,0,NA,188,4
Q2 2020,Ozark Gas Transmission L.L.C.,136580,1083079,0,NA,80,10
Q2 2020,Paiute Pipeline Company,210725,NA,949872,NA,141,31
Q2 2020,Panhandle Eastern Pipe Line Company LP,3363212,710632,40707553,12706,224,210
Q2 2020,Perryville Gas Storage LLC,0,NA,7000000,NA,28,9
Q2 2020,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q2 2020,Pine Prairie Energy Center LLC,0,NA,63142300,NA,24,57
Q2 2020,Portland General Electric Company,159726,NA,0,NA,204,1
Q2 2020,Portland Natural Gas Transmission System LP,310990,7821015,0,NA,202,18
Q2 2020,Rockies Express Pipeline LLC,4243000,90317423,0,NA,105,43
Q2 2020,Rover Pipeline LLC,3175000,3988594,0,NA,132,12
Q2 2020,Ruby Pipeline LLC,1356500,46911298,0,NA,76,24
Q2 2020,Sabal Trail Transmission LLC,720000,37341744,0,NA,211,3
Q2 2020,Saltville Gas Storage Company LLC,0,NA,5262010,573994,59,43
Q2 2020,Sea Robin Pipeline Company LLC,66018,540543,0,NA,105,4
Q2 2020,SG Resources Mississippi LLC,0,NA,17250000,NA,38,11
Q2 2020,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q2 2020,Southeast Supply Header LLC.,1055000,2552736,0,NA,137,10
Q2 2020,Southern Natural Gas Company L.L.C.,4170093,23736843,53092011,1268900,200,575
Q2 2020,Southern Star Central Gas Pipeline Inc.,3782450,11488165,44425693,236247,174,303
Q2 2020,Southwest Gas Storage Company,0,NA,57117890,NA,263,1
Q2 2020,Spire Storage West LLC,0,NA,35074600,NA,9,107
Q2 2020,Stagecoach Pipeline and Storage Company LLC,1895583,NA,28800510,NA,52,42
Q2 2020,Steckman Ridge LP,0,NA,5950000,NA,60,4
Q2 2020,Stingray Pipeline Company L.L.C.,13748,319642,0,NA,NA,7
Q2 2020,Tallgrass Interstate Gas Transmission LLC,661426,8053550,10172101,10022,58,83
Q2 2020,Tennessee Gas Pipeline Company L.L.C.,12845516,33610078,77385262,1098849,264,645
Q2 2020,Texas Eastern Transmission LP,13906697,19504946,71992173,469718703,110,500
Q2 2020,Texas Gas Transmission LLC,4451379,15729012,64495155,48224750,109,241
Q2 2020,Trailblazer Pipeline Company LLC,1351508,8730953,0,NA,127,88
Q2 2020,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q2 2020,TransColorado Gas Transmission Company LLC,629550,5867029,0,NA,31,11
Q2 2020,Transcontinental Gas Pipe Line Company LLC,16768774,78488113,190090030,9834389,174,607
Q2 2020,Transwestern Pipeline Company LLC,2032652,11127338,0,NA,49,81
Q2 2020,Tres Palacios Gas Storage LLC,0,NA,38368923,NA,12,55
Q2 2020,Trunkline Gas Company LLC,3870236,7930124,4194945,12492830,88,113
Q2 2020,Tuscarora Gas Transmission Company,230584,1690296,0,NA,219,24
Q2 2020,UGI LNG Inc,10000,NA,10000,NA,97,1
Q2 2020,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q2 2020,UGI Storage Company,0,NA,88002,NA,13,11
Q2 2020,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q2 2020,USG Pipeline Company LLC,9200,NA,0,NA,144,2
Q2 2020,Vector Pipeline L.P.,2789085,10328063,0,NA,137,48
Q2 2020,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q2 2020,Viking Gas Transmission Company,573037,2209709,0,NA,157,103
Q2 2020,WBI Energy Transmission Inc.,1803214,12961745,14220857,333764,89,69
Q2 2020,WestGas InterState Inc.,0,NA,0,NA,NA,2
Q2 2020,White River Hub LLC,2440000,760865,0,NA,163,4
Q2 2020,WTG Hugoton L.P.,74106,316151,0,NA,154,5
Q2 2020,Wyoming Interstate Company L.L.C.,3726895,48674059,0,NA,86,54
Q2 2020,Young Gas Storage Company Ltd.,0,NA,6508014,11035639,343,2
Q1 2020,Algonquin Gas Transmission LLC,5140460,23935159,0,NA,83,157
Q1 2020,Alliance Pipeline L.P.,1720187,17631930,0,NA,63,65
Q1 2020,ANR Pipeline Company,10499660,57332869,190719505,NA,114,722
Q1 2020,ANR Storage Company,0,0,57240360,NA,76,19
Q1 2020,Arlington Storage Company LLC,0,NA,13304000,NA,53,13
Q1 2020,BBT (AlaTenn) LLC,101705,250526,0,NA,95,20
Q1 2020,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q1 2020,Blue Lake Gas Storage Company,0,NA,48000000,27480000,83,5
Q1 2020,Bluewater Gas Storage LLC,0,NA,29454897,NA,43,44
Q1 2020,Boardwalk Storage Co LLC,0,NA,6482700,NA,29,9
Q1 2020,Bobcat Storage,0,NA,23292200,NA,34,20
Q1 2020,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q1 2020,Caledonia Energy Partners LLC,0,NA,7550000,NA,30,5
Q1 2020,Cameron Interstate Pipeline LLC,1450730,1900167,0,NA,152,7
Q1 2020,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q1 2020,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q1 2020,Cheyenne Plains Gas Pipeline Company LLC,635840,3805423,0,NA,59,23
Q1 2020,Cimarron River Pipeline LLC,320487,NA,0,NA,79,2
Q1 2020,Colorado Interstate Gas Company L.L.C.,6023643,21032958,42101846,83083022,160,146
Q1 2020,Columbia Gas Transmission LLC,16042946,100863556,253437184,NA,154,713
Q1 2020,Columbia Gulf Transmission LLC,5722235,20081587,0,NA,130,101
Q1 2020,Crossroads Pipeline Company,87995,288535,0,NA,51,9
Q1 2020,Dauphin Island Gathering Partners,47645,NA,0,NA,4,11
Q1 2020,Discovery Gas Transmission LLC,380258,NA,0,NA,2,54
Q1 2020,Dominion Energy Carolina Gas Transmission LLC,911274,4089747,0,NA,81,84
Q1 2020,Dominion Energy Cove Point LNG LP,3061999,31290915,7822500,NA,253,28
Q1 2020,East Cheyenne Gas Storage LLC,0,NA,14630952,NA,15,28
Q1 2020,East Tennessee Natural Gas LLC,2042496,41408641,1090043,NA,102,184
Q1 2020,Eastern Gas Transmission and Storage Inc,8737943,25338878,306767896,2192701,191,427
Q1 2020,Egan Hub Storage LLC,0,NA,20800000,NA,33,19
Q1 2020,El Paso Natural Gas Company L.L.C.,8324452,49674821,0,NA,105,226
Q1 2020,Elba Express Company L.L.C.,2070197,8517103,0,NA,158,23
Q1 2020,Empire Pipeline Inc.,799151,2462358,3753090,137363,69,14
Q1 2020,Enable Gas Transmission LLC,5089871,42670424,22920017,NA,72,773
Q1 2020,Enable Mississippi River Transmission LLC,1496099,3541546,21490584,35175788,231,88
Q1 2020,Equitrans L.P.,4338343,23421310,27742669,618367,129,55
Q1 2020,ETC Tiger Pipeline LLC,2130000,6666975,0,NA,99,8
Q1 2020,Florida Gas Transmission Company LLC,4115718,38978933,0,NA,266,176
Q1 2020,Florida Southeast Connection LLC,700000,NA,0,NA,285,2
Q1 2020,Freebird Gas Storage LLC,0,NA,5500000,NA,17,5
Q1 2020,Garden Banks Gas Pipeline LLC,152256,NA,0,NA,2,14
Q1 2020,Gas Transmission Northwest LLC,3045859,NA,0,NA,173,130
Q1 2020,Golden Pass Pipeline LLC,2600910,2030330,0,NA,300,3
Q1 2020,Golden Triangle Storage Inc,165000,NA,9600000,NA,27,13
Q1 2020,Granite State Gas Transmission Inc.,103200,9727,0,NA,10,4
Q1 2020,Great Lakes Gas Transmission Limited Partnership,3756353,25559057,0,NA,72,94
Q1 2020,Guardian Pipeline L.L.C.,2492733,7536586,0,NA,105,27
Q1 2020,Gulf South Pipeline Company LP,10088682,73818429,59390000,NA,391,272
Q1 2020,Gulfstream Natural Gas System L.L.C.,1292000,NA,0,NA,222,17
Q1 2020,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q1 2020,Iroquois Gas Transmission System L.P.,1818790,11927947,0,NA,119,88
Q1 2020,Kern River Gas Transmission Company,3758083,35976959,0,NA,77,112
Q1 2020,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q1 2020,Kinder Morgan Louisiana Pipeline LLC,805730,3698301,0,NA,93,3
Q1 2020,KPC Pipeline LLC,114794,752800,0,NA,39,11
Q1 2020,Leaf River Energy Center LLC,0,NA,26659117,NA,54,9
Q1 2020,Maritimes & Northeast Pipeline L.L.C.,967000,10947904,0,NA,263,5
Q1 2020,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q1 2020,MarkWest Pioneer LLC,476235,NA,0,NA,100,8
Q1 2020,Midwestern Gas Transmission Company,1435123,3089008,0,NA,148,55
Q1 2020,MIGC LLC,73428,446488,0,NA,66,10
Q1 2020,Millennium Pipeline Company LLC,2348969,37214086,0,NA,106,52
Q1 2020,Mississippi Canyon Gas Pipeline LLC,125637,182934,0,NA,NA,16
Q1 2020,Mississippi Hub LLC,0,NA,13500000,NA,26,10
Q1 2020,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,186,3
Q1 2020,Monroe Gas Storage Company LLC,0,NA,6700000,NA,37,8
Q1 2020,MountainWest Overthrust Pipeline LLC,1963095,2733194,0,NA,56,34
Q1 2020,MountainWest Pipeline LLC,2551714,12583637,54486118,6791473,148,103
Q1 2020,National Fuel Gas Supply Corporation,3230100,6539617,66940115,2386939,120,166
Q1 2020,Natural Gas Pipeline Company of America LLC,10242142,18244887,253003050,NA,49,356
Q1 2020,Nautilus Pipeline Company L.L.C.,364832,1487584,0,NA,NA,54
Q1 2020,Nexus,1515505,34844970,0,NA,63,28
Q1 2020,NGO Transmission Inc.,76773,NA,43260,NA,205,1
Q1 2020,North Baja Pipeline LLC,972300,3467777,0,NA,192,15
Q1 2020,Northern Border Pipeline Company,4788057,NA,0,NA,111,157
Q1 2020,Northern Natural Gas Company,21738428,90710776,101123347,121841006,97,1269
Q1 2020,Northwest Pipeline LLC,5133765,37083288,8836002,NA,264,204
Q1 2020,OkTex Pipeline Company L.L.C.,5552,790743,0,NA,170,4
Q1 2020,Ozark Gas Transmission L.L.C.,136580,1083079,0,NA,80,10
Q1 2020,Paiute Pipeline Company,301752,NA,949872,NA,141,31
Q1 2020,Panhandle Eastern Pipe Line Company LP,3795642,24217179,41552553,437441,230,208
Q1 2020,Perryville Gas Storage LLC,0,NA,8750000,NA,32,8
Q1 2020,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q1 2020,Pine Prairie Energy Center LLC,0,NA,61378800,NA,27,55
Q1 2020,Portland General Electric Company,159726,NA,0,NA,204,1
Q1 2020,Portland Natural Gas Transmission System LP,301096,22688909,0,NA,202,18
Q1 2020,Rockies Express Pipeline LLC,4236000,89604199,0,NA,110,43
Q1 2020,Rover Pipeline LLC,3206515,4397235,0,NA,106,15
Q1 2020,Ruby Pipeline LLC,1144500,39579785,0,NA,110,16
Q1 2020,Sabal Trail Transmission LLC,720000,37341744,0,NA,211,3
Q1 2020,Saltville Gas Storage Company LLC,0,NA,4957440,538451,59,43
Q1 2020,Sea Robin Pipeline Company LLC,69137,566414,0,NA,105,4
Q1 2020,SG Resources Mississippi LLC,0,NA,17250000,NA,39,11
Q1 2020,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q1 2020,Southeast Supply Header LLC.,1055000,2552736,0,NA,137,10
Q1 2020,Southern Natural Gas Company L.L.C.,4640929,27117508,53092011,1268900,199,578
Q1 2020,Southern Star Central Gas Pipeline Inc.,3924146,12202035,44425693,236247,164,318
Q1 2020,Southwest Gas Storage Company,0,NA,57117890,NA,263,1
Q1 2020,Spire Storage West LLC,0,NA,31360750,NA,8,92
Q1 2020,Stagecoach Pipeline and Storage Company LLC,2047676,NA,28650510,NA,48,48
Q1 2020,Steckman Ridge LP,0,NA,7950000,NA,50,5
Q1 2020,Stingray Pipeline Company L.L.C.,13748,319642,0,NA,NA,7
Q1 2020,Tallgrass Interstate Gas Transmission LLC,772497,6197328,10172101,5336,154,81
Q1 2020,Tennessee Gas Pipeline Company L.L.C.,13106091,33629629,77385262,1098849,256,657
Q1 2020,Texas Eastern Transmission LP,14013762,20268115,71992173,586150119,110,502
Q1 2020,Texas Gas Transmission LLC,5691299,26149911,54768004,31778650,110,235
Q1 2020,Trailblazer Pipeline Company LLC,1352403,8737862,0,NA,128,88
Q1 2020,Trans-Union Interstate Pipeline LP,470000,773385,0,NA,181,4
Q1 2020,TransColorado Gas Transmission Company LLC,347200,3235696,0,NA,31,14
Q1 2020,Transcontinental Gas Pipe Line Company LLC,17021038,80666827,189334417,9722090,171,612
Q1 2020,Transwestern Pipeline Company LLC,2198102,9606285,0,NA,50,80
Q1 2020,Tres Palacios Gas Storage LLC,0,NA,31082140,NA,14,30
Q1 2020,Trunkline Gas Company LLC,4208350,10090204,4194945,12492830,88,118
Q1 2020,Tuscarora Gas Transmission Company,230584,1690296,0,NA,218,24
Q1 2020,UGI LNG Inc,10000,NA,10000,NA,97,1
Q1 2020,UGI Mt. Bethel Pipeline Company LLC,72000,NA,0,NA,239,1
Q1 2020,UGI Storage Company,0,NA,87997,NA,15,10
Q1 2020,UGI Sunbury LLC,200000,NA,0,NA,275,2
Q1 2020,USG Pipeline Company LLC,9200,NA,0,NA,144,2
Q1 2020,Vector Pipeline L.P.,2915816,11657068,0,NA,122,55
Q1 2020,Venice Gathering System L.L.C.,222584,NA,0,NA,403,10
Q1 2020,Viking Gas Transmission Company,607075,2825798,0,NA,156,104
Q1 2020,WBI Energy Transmission Inc.,1626914,11226662,14220857,333764,87,69
Q1 2020,WestGas InterState Inc.,0,NA,0,NA,NA,2
Q1 2020,White River Hub LLC,2440000,760865,0,NA,163,4
Q1 2020,WTG Hugoton L.P.,74106,316151,0,NA,154,5
Q1 2020,Wyoming Interstate Company L.L.C.,3800595,49772610,0,NA,83,58
Q1 2020,Young Gas Storage Company Ltd.,0,NA,6508014,11035639,343,2
Q4 2019,Algonquin Gas Transmission LLC,5084446,38063753,0,NA,81,162
Q4 2019,Alliance Pipeline L.P.,1706526,18345169,0,NA,51,59
Q4 2019,ANR Pipeline Company,7501166,41943329,191030505,NA,117,689
Q4 2019,ANR Storage Company,0,0,57240360,NA,76,19
Q4 2019,Arlington Storage Company LLC,50000,NA,13304000,NA,50,14
Q4 2019,BBT (AlaTenn) LLC,91455,159060,0,NA,95,20
Q4 2019,Big Sandy Pipeline LLC,137721,2378773,0,NA,198,2
Q4 2019,Blue Lake Gas Storage Company,0,NA,48000000,27480000,83,5
Q4 2019,Bluewater Gas Storage LLC,0,NA,28733497,NA,44,43
Q4 2019,Boardwalk Storage Co LLC,0,NA,6482700,NA,29,9
Q4 2019,Bobcat Storage,0,NA,23142200,NA,35,19
Q4 2019,Cadeville Gas Storage LLC,0,NA,20000000,NA,119,1
Q4 2019,Caledonia Energy Partners LLC,0,NA,7550000,NA,30,5
Q4 2019,Cameron Interstate Pipeline LLC,1450730,1900167,0,NA,152,7
Q4 2019,Chandeleur Pipe Line LLC,10000,120604,0,NA,26,1
Q4 2019,Cheniere Creole Trail Pipeline L.P.,1530000,2268327,0,NA,239,1
Q4 2019,Cheyenne Plains Gas Pipeline Company LLC,758840,5708670,0,NA,62,25
Q4 2019,Cimarron River Pipeline LLC,320487,NA,0,NA,121,2
Q4 2019,Colorado Interstate Gas Company L.L.C.,5876032,19397796,41810570,82764518,158,145
Q4 2019,Columbia Gas Transmission LLC,16549032,103296366,253437184,NA,152,728
Q4 2019,Columbia Gulf Transmission LLC,5326701,18541641,0,NA,137,104
Q4 2019,Crossroads Pipeline Company,48000,157392,0,NA,75,6
Q4 2019,Dauphin Island Gathering Partners,46704,NA,0,NA,4,11
Q4 2019,Discovery Gas Transmission LLC,407006,NA,0,NA,2,55
Q4 2019,Dominion Energy Carolina Gas Transmission LLC,845542,3751931,0,NA,82,80
Q4 2019,Dominion Energy Cove Point LNG LP,2921999,29447955,7822500,NA,253,27
Q4 2019,East Cheyenne Gas Storage LLC,0,NA,16160952,NA,15,30
Q4 2019,East Tennessee Natural Gas LLC,1880588,22739024,1090043,NA,105,182
Q4 2019,Eastern Gas Transmission and Storage Inc,8642249,25528659,306767896,2192701,195,423
Q4 2019,Egan Hub Storage LLC,0,NA,21300000,NA,34,20
Q4 2019,El Paso Natural Gas Company L.L.C.,7928483,54824614,0,NA,101,227
Q4 2019,Elba Express Company L.L.C.,2043197,8299008,0,NA,164,22
Q4 2019,Empire Pipeline Inc.,874151,2462358,3753090,137363,57,17
Q4 2019,Enable Gas Transmission LLC,4689809,42662538,22920017,NA,73,775
Q4 2019,Equitrans L.P.,3598911,20396497,27742669,618367,150,52
Q4 2019,ETC Tiger Pipeline LLC,2130000,6666975,0,NA,99,8
Q4 2019,Florida Gas Transmission Company LLC,4109669,35999560,0,NA,263,173
Q4 2019,Florida Southeast Connection LLC,700000,NA,0,NA,285,2
Q4 2019,Freebird Gas Storage LLC,0,NA,5500000,NA,17,5
Q4 2019,Garden Banks Gas Pipeline LLC,145893,NA,0,NA,2,14
Q4 2019,Gas Transmission Northwest LLC,2839200,NA,0,NA,176,126
Q4 2019,Golden Pass Pipeline LLC,2600910,2030330,0,NA,300,3
Q4 2019,Golden Triangle Storage Inc,165000,NA,9600000,NA,27,13
Q4 2019,Granite State Gas Transmission Inc.,103325,10280,0,NA,11,5
Q4 2019,Great Lakes Gas Transmission Limited Partnership,2221610,15543630,0,NA,90,74
Q4 2019,Guardian Pipeline L.L.C.,2427119,7412765,0,NA,110,24
Q4 2019,Gulf South Pipeline Company LP,8049821,46157665,59390000,NA,423,250
Q4 2019,Gulfstream Natural Gas System L.L.C.,1310000,NA,0,NA,224,17
Q4 2019,Hardy Storage Company LLC,0,NA,12361000,NA,174,3
Q4 2019,Iroquois Gas Transmission System L.P.,1583040,10122885,0,NA,143,72
Q4 2019,Kern River Gas Transmission Company,3573357,34143616,0,NA,75,116
Q4 2019,Kinder Morgan Illinois Pipeline LLC,200000,180000,0,NA,48,1
Q4 2019,Kinder Morgan Louisiana Pipeline LLC,745000,3419550,0,NA,138,2
Q4 2019,KPC Pipeline LLC,109754,718506,0,NA,43,10
Q4 2019,Leaf River Energy Center LLC,0,NA,26659117,NA,54,9
Q4 2019,Maritimes & Northeast Pipeline L.L.C.,1070317,12487761,0,NA,259,6
Q4 2019,MarkWest New Mexico L.L.C.,276000,NA,0,NA,310,1
Q4 2019,Midwestern Gas Transmission Company,1439073,3096601,0,NA,140,56
Q4 2019,MIGC LLC,73428,246137,0,NA,66,10
Q4 2019,Millennium Pipeline Company LLC,2350096,37234071,0,NA,104,53
Q4 2019,Mississippi Canyon Gas Pipeline LLC,141090,210807,0,NA,NA,16
Q4 2019,Mississippi Hub LLC,0,NA,13500000,NA,26,10
Q4 2019,Mojave Pipeline Company L.L.C.,492936,1245156,0,NA,186,3
Q4 2019,MountainWest Overthrust Pipeline LLC,2004337,2800006,0,NA,68,28
Q4 2019,MountainWest Pipeline LLC,2085064,10967348,54486118,6791473,166,91
Q4 2019,National Fuel Gas Supply Corporation,3235679,6618442,66940115,2386939,118,166
Q4 2019,Natural Gas Pipeline Company of America LLC,9220639,16747720,253003050,NA,50,351
Q4 2019,Nautilus Pipeline Company L.L.C.,369497,1512056,0,NA,NA,54
Q4 2019,Nexus,1515500,34990174,0,NA,62,28
Q4 2019,NGO Transmission Inc.,76773,NA,43260,NA,193,1
Q4 2019,North Baja Pipeline LLC,1000116,3566985,0,NA,180,16
Q4 2019,Northern Border Pipeline Company,4264427,NA,0,NA,125,135
Q4 2019,Northern Natural Gas Company,25422912,22768857,101123347,58019529,102,1258
Q4 2019,Northwest Pipeline LLC,5007937,36359085,8836002,NA,261,205
Q4 2019,OkTex Pipeline Company L.L.C.,95552,13608993,0,NA,126,6
Q4 2019,Ozark Gas Transmission L.L.C.,136580,1083079,0,NA,80,10
Q4 2019,Paiute Pipeline Company,210725,NA,949872,NA,132,31
Q4 2019,Panhandle Eastern Pipe Line Company LP,3492867,22813677,41707553,437441,218,220
Q4 2019,Perryville Gas Storage LLC,0,NA,8750000,NA,32,8
Q4 2019,Pine Needle LNG Company L.L.C.,0,NA,4140000,NA,239,5
Q4 2019,Pine Prairie Energy Center LLC,0,NA,59677080,NA,26,52
Q4 2019,Portland General Electric Company,159726,NA,0,NA,192,1
Q4 2019,Portland Natural Gas Transmission System LP,223766,5178335,0,NA,114,20
Q4 2019,Rockies Express Pipeline LLC,4955000,100326639,0,NA,103,53
Q4 2019,Rover Pipeline LLC,3350000,7312424,0,NA,80,20
Q4 2019,Ruby Pipeline LLC,1150072,39772480,0,NA,114,16
Q4 2019,Sabal Trail Transmission LLC,740000,38484858,0,NA,159,4
Q4 2019,Saltville Gas Storage Company LLC,0,NA,5262010,573994,59,43
Q4 2019,Sea Robin Pipeline Company LLC,66534,544823,0,NA,99,4
Q4 2019,SG Resources Mississippi LLC,0,NA,17500000,NA,39,11
Q4 2019,Sierrita Gas Pipeline LLC,200846,2992786,0,NA,261,1
Q4 2019,Southeast Supply Header LLC.,1035000,2233644,0,NA,146,9
Q4 2019,Southern Natural Gas Company L.L.C.,4599129,27020737,53092011,1268900,200,579
Q4 2019,Southern Star Central Gas Pipeline Inc.,3898608,12116092,44425693,236247,170,303
Q4 2019,Southwest Gas Storage Company,0,NA,57117890,NA,263,1
Q4 2019,Spire Storage West LLC,0,NA,22283758,NA,6,118
Q4 2019,Stagecoach Pipeline and Storage Company LLC,2119676,NA,28650510,NA,48,51
