Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-131,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Quantity,0.01000,$/Dth/day ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-132,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-132,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-132,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Demand,0.02600,$/Dth/day ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-132,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Quantity,0.01000,$/Dth/day ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-133,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-133,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,0.54000,%         ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-133,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Demand,0.02600,$/Dth/day ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,LNG X-133,343-9 | 815530,NaN,AC Riley | 742606,NaN,Storage Quantity,0.01000,$/Dth/day ,Storage,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Fuel,1.45400,%         ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Overrun,27.23000,�/Dth     ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS,343-9 | 815530,NaN,AC Riley | 742606,NaN,Reservation,0.25340,$/Dth/day ,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,ACA,0.00130,$/Dth,System,Entire System
"Columbia Gas Transmission, LLC",07/01/2018,NTS E,343-9 | 815530,NaN,AC Riley | 742606,NaN,Commodity,1.89000,�/Dth     ,System,Entire System
